ValuationDate=2022-10-07
Cut=1700NY
SDKey,Status,Bid,Ask,Mid,High,Low,Yesterday
FX_SPT_AUDUSD,Succeeded,0.63631,0.63717,0.63674,0.643225,0.63545,0.640855
FX_SPT_EURUSD,Succeeded,0.97383,0.97426,0.974045,0.981645,0.972825,0.97915
FX_SPT_USDCAD,Succeeded,1.37325,1.37375,1.3735,1.375995,1.36761,1.374795
FX_SPT_USDMXN,Succeeded,20.03336,20.05291,20.04314,20.13878,19.99167,20.12408
FX_SPT_USDCNY,Failed,,,,,,
FX_SPT_USDCNH,Failed,,,,,,
FX_SPT_USDHKD,Succeeded,7.84943,7.85034,7.849885,7.84999,7.84963,7.849905
FX_SPT_USDJPY,Succeeded,145.328,145.391,145.3595,145.441,144.7415,145.138
FX_SPT_GBPUSD,Succeeded,1.10898,1.10959,1.109285,1.12239,1.10563,1.116025
FX_SPT_USDKRW,Succeeded,1423.303,1426.333,1424.818,1425.348,1402.221,1407.089
FX_SPT_USDSGD,Succeeded,1.43286,1.43405,1.433455,1.43427,1.427745,1.42929
FX_SPT_USDILS,Succeeded,3.54275,3.55144,3.547095,3.548585,3.511165,3.526835
